label,r,poly_disc_abs,nfdisc_abs,scoring_disc,coeffs
24T1,0,153269993256891697197223994160975925055765416725695689990938955876074771729044907266038029209128927232,329123002999201416128761938882499016916992,nfdisc,"8,0,384,0,4640,0,25504,0,75464,0,128416,0,128408,0,75632,0,26378,0,5440,0,644,0,40,0,1"
24T1,0,724196348558587288030682315058861106527993735931161835739222461949576989344377355047953179456774873057708622963802112,18351423083070806589199715754737431920771072,nfdisc,"8,0,576,0,8592,0,54976,0,183060,0,336864,0,341336,0,184752,0,55620,0,9584,0,936,0,48,0,1"
24T1,0,206623869012295619818265994886836292240756863397305310962498505074543089951261404145532453246710847463670170422787048820736786432,1486465269728735333725176976133731985582456832,nfdisc,"648,0,15552,0,115344,0,395712,0,737748,0,807840,0,542232,0,227664,0,59940,0,9744,0,936,0,48,0,1"
24T1,0,5089695586923932988508625367122795384303771490276428989180466292341906120321939251407135612623207736051003167873948119895945711827348249394972459008,7184983626352716099297100617536359330111417,nfdisc,"2264,-2620,11808,1635,19195,4983,-2247,25522,1136,11999,9467,-5456,12938,3352,-2494,4426,766,-471,673,67,-37,44,2,-1,1"
24T1,0,12010336036076342717629355776333590165314367904906100372826919954940068416246595691664908668325406158885426259719243153366045030327939762627859910473285632,790224330201082600125157415256880139617697792,nfdisc,"19208,0,307328,0,1613472,0,4006240,0,5419400,0,4313568,0,2124248,0,665616,0,133770,0,17024,0,1316,0,56,0,1"
24T1,0,50624924592374187441732365024865352143847915177615393001444052878149825625973368359030540824755739647459504479377008232016863074787058925454544386372871643538282622699695197120704695753,10370328622637411153913943764610276201876257,nfdisc,"46819,134169,328707,411790,631794,581175,684787,326223,434943,127001,91182,63306,-6399,12591,4752,-1085,2106,-162,-269,-21,-99,-4,6,0,1"
24T1,0,2230486991170640649749653947215778166303417362480746501371324206056200597892085272296320962606919294869028355165890958825262326366804103873051508114476516024812848157499920603645070301724672,83266399156009500097152164549854178374877246881005568,nfdisc,"9502993,0,62929914,0,155603035,0,203038169,0,159691585,0,80474983,0,26651817,0,5812434,0,820232,0,72071,0,3686,0,97,0,1"
24T1,0,90432770475045076708228791783893899053022137645802752380508112245373618910284186049760928383126053462514892117485582661317171858322357664336917434283720273882994618029200192324103661860913537,5513001989803802379160200522041204586631217,nfdisc,"149227,-70083,359338,-328603,681404,-247054,582221,188822,226913,241364,63829,72619,29288,3107,8445,-921,-139,80,-536,-88,-11,-19,14,-1,1"
24T1,0,2120344915027985779674216161100615748174039126254638488964545967007754327927734877910777110647809779175821283758162925951655862995153608680863543285079576484173302934197551380949468991979520000000000000000,188216044816745326913150945765287080795084676923392,nfdisc,"228488,0,3655808,0,19192992,0,43377568,0,52112840,0,36909600,0,16152344,0,4421040,0,745290,0,74048,0,4004,0,104,0,1"
24T1,0,45718465023766880193177562989155354871205740167418282169527452450957632694730597469108334011929833072331735863524555954779935850947034001021434072988754198495790225065115508694352736554211759583296318521090001338368,31808511574029960248322509834333516654369310400053248,nfdisc,"8437832,0,240158464,0,1158734304,0,1792660064,0,1295098376,0,510271840,0,121235192,0,18361200,0,1813162,0,116064,0,4628,0,104,0,1"
